stand_type,easting,northing,long,lat,stand_numbers
Railing,316075.072,233732.458,-6.258024659770214,53.34132965797744,4
Sheffield Stand,315536.215,234741.942,-6.265742763831389,53.350513523455405,11
Sheffield Stand,315870.526,234575.007,-6.260786037337254,53.34894125119669,18
Sheffield Stand,316518.041,234850.136,-6.250966499800801,53.35127003745949,12
Sheffield Stand,315256.892,234779.286,-6.269921640874904,53.35090978307725,6
Sheffield Stand,315697.898,234886.887,-6.2632630750551135,53.35177994739211,4
Sheffield Stand,315710.776,233689.256,-6.263507090403863,53.34102137867678,6
Sheffield Stand,315632.078,232779.547,-6.265019796849307,53.33286857810817,8
Sheffield Stand,315801.655,234005.381,-6.262027866181443,53.34384059097377,4
Sheffield Stand,315708.34,234332.958,-6.26330863915529,53.34680291018918,4
Sheffield Stand,315120.718,233461.67,-6.272444179302019,53.339106027552035,5
Sheffield Stand,315279.141,233935.184,-6.26989477871052,53.34332415386033,14
Sheffield Stand,313796.011,234298.491,-6.292021651453963,53.346907767663176,16
Sheffield Stand,314010.91,233926.01,-6.288930392658671,53.34351629849984,3
Sheffield Stand,314550.773,233903.411,-6.280836826004401,53.343196844258024,4
Sheffield Stand,315596.696,234172.631,-6.265042680278605,53.34538741783976,8
Sheffield Stand,315608.191,234170.326,-6.264871009485658,53.345364207642334,4
Sheffield Stand,315669.796,234132.153,-6.263960403742411,53.34500792885959,8
Sheffield Stand,315698.364,234133.293,-6.263531256285706,53.345011926480126,4
Sheffield Stand,315829.696,234215.297,-6.261530334238532,53.34571968348659,8
Sheffield Stand,313593.252,234467.114,-6.295004270451176,53.34846570505184,7
Sheffield Stand,315744.217,234477.977,-6.262717224586188,53.34809746413205,4
Sheffield Stand,315620.084,234449.284,-6.264590742840365,53.34786689519512,3
Sheffield Stand,316425.953,234826.933,-6.252357222201049,53.35108191383721,9
Stainless Steel Curved,317376.228,234130.903,-6.23835204906083,53.34462123921008,4
Stainless Steel Curved,317522.314,234135.58,-6.23615799586704,53.34463084374857,12
Stainless Steel Curved,315471.177,235819.159,-6.266326203713828,53.36020204666167,25
Sheffield Stand,315434.199,234685.804,-6.267294412635442,53.350031606404826,5
Sheffield Stand,315260.724,234123.558,-6.270102652449251,53.34501992930567,5
Sheffield Stand,316095.756,234517.835,-6.257426569056693,53.34837846461388,5
Sheffield Stand,315179.115,234242.465,-6.271284179289819,53.34610557654279,3
Sheffield Stand,315724.58,233841.871,-6.263244229781977,53.34238897758228,8
Sheffield Stand,317446.749,234589.876,-6.237123627323264,53.34872751833336,34
Sheffield Stand,313521.186,234446.584,-6.296093254715738,53.348296779954225,42
Sheffield Stand,313446.134,234266.598,-6.297284135482392,53.346696407563776,166
Sheffield Stand,316119.348,234470.185,-6.257089950397454,53.34794535517793,10
Sheffield Stand,315757.124,233694.396,-6.2628097157617715,53.3410574128879,4
Sheffield Stand,315573.483,234789.378,-6.265166090647676,53.35093140600027,11
Sheffield Stand,315983.877,233950.178,-6.259313470171333,53.34330494571967,10
Sheffield Stand,316789.331,233153.532,-6.247519760615502,53.335973428042585,5
Sheffield Stand,315444.753,234129.627,-6.26733863875515,53.345034349036425,4
Sheffield Stand,315584.065,233188.385,-6.26559112479323,53.336550782882526,3
Sheffield Stand,315326.251,234583.081,-6.268952017161247,53.3491325865843,2
Sheffield Stand,315483.659,234709.557,-6.266543400157118,53.350234143701186,2
Sheffield Stand,316040.24,234723.909,-6.258184308220243,53.35024134911288,5
Sheffield Stand,316589.41,234825.5,-6.249904354383317,53.35103307576484,8
Sheffield Stand,315601.502,233103.476,-6.265360448394895,53.33578442016408,2
Sheffield Stand,315619.469,233085.009,-6.265097602015801,53.33561464918429,2
Sheffield Stand,315797.933,235005.731,-6.261718130103914,53.352825396939764,13
Sheffield Stand,316429.307,234653.463,-6.252370630767088,53.34952327688752,10
Sheffield Stand,316124.547,234396.322,-6.257038991105774,53.347280864256774,10
Sheffield Stand,316103.209,234384.569,-6.257363541206031,53.347179991476665,8
Sheffield Stand,315980.949,234172.805,-6.259275938827657,53.345304964989204,4
Sheffield Stand,315945.856,234058.105,-6.2598445593317775,53.344282546663926,12
Sheffield Stand,316272.359,234951.172,-6.254616984240244,53.35223143289655,6
Hoops,315730.637,233122.755,-6.263415849923063,53.335929367266715,4
Hoops,315565.264,233528.086,-6.265749400180372,53.33960569966473,5
Hoops,315831.507,233983.195,-6.261587986423672,53.34363481350142,4
Hoops,315658.048,234850.175,-6.263874617930076,53.35145894905492,8
Hoops,315584.249,233695.719,-6.2654033988657005,53.34110704867421,10
Hoops,315546.977,234144.59,-6.265799064298009,53.345146435733575,6
Hoops,315552.536,234154.888,-6.265711882954975,53.34523770781379,6
Hoops,315652.816,234128.53,-6.264216551543518,53.344979099667455,6
Hoops,316519.88,233345.409,-6.251492123175751,53.33775597510579,7
Hoops,315513.422,234727.572,-6.266090111381174,53.35038944159248,7
Hoops,314576.739,234353.786,-6.280284327283572,53.347236018696854,6
Hoops,316616.747,233295.175,-6.250057135291606,53.337283516838966,5
Hoops,316760.249,233420.672,-6.247857734009709,53.33837896928403,4
Hoops,316459.788,233364.891,-6.252386632953566,53.337944154239196,7
Hoops,316398.382,233383.272,-6.253301271395632,53.33812272757721,7
Hoops,315865.43,233518.805,-6.261248655442059,53.33945677346568,1
Hoops,315876.185,233543.229,-6.2610783446330665,53.33967376924212,7
Hoops,316150.724,233485.461,-6.25697992148399,53.3390948331541,8
Hoops,315881.01,233554.313,-6.261001891461808,53.33977225749802,7
Hoops,315487.286,234129.767,-6.266700276716234,53.34502633270575,5
Hoops,316626.893,233974.817,-6.249654855651054,53.343385014083815,3
Hoops,314578.069,234331.977,-6.280272252112374,53.34703986565107,6
Hoops,315474.974,234555.758,-6.266729810850994,53.348854789106035,5
Hoops,315886.62,234215.257,-6.260676054928282,53.34570687040894,5
Hoops,315915.208,234219.253,-6.2602455555973835,53.34573650107111,4
Hoops,315980.397,234459.217,-6.259179395627069,53.34787730587112,4
Hoops,315529.605,234337.349,-6.265989500423069,53.346881369709635,4
Hoops,316246.263,234863.717,-6.255040773772736,53.35145174650439,5
Hoops,315561.333,233608.947,-6.265778910191605,53.34033276024988,10
Hoops,315631.373,234804.423,-6.264291700346294,53.35105388336612,7
Hoops,315389.393,234098.328,-6.268180846581677,53.34476532162059,4
Hoops,315621.511,233037.8,-6.265084177223084,53.33519022498466,4
Hoops,315856.402,234883.26,-6.260885295264113,53.351712713007366,8
Hoops,315769.736,233921.602,-6.262537475713936,53.34309516197977,4
Hoops,315715.132,233917.955,-6.263358234158673,53.343074341982316,5
Hoops,315688.282,233923.276,-6.263759222324711,53.343127994924096,6
Hoops,315797.251,234010.087,-6.262092237487355,53.343883817839036,4
Hoops,315451.628,234133.537,-6.267234038238058,53.3450679655193,5
Hoops,314688.714,234479.324,-6.27855833438506,53.34833922639931,6
Hoops,315516.52,234390.428,-6.26616653113571,53.3473609199413,5
Hoops,316502.929,232906.195,-6.251907841892842,53.33381520172738,5
Hoops,314730.38,234589.348,-6.277893142449794,53.349318317398,5
Hoops,315771.53,234471.866,-6.262309531038047,53.34803661126443,5
Hoops,316004.875,233697.49,-6.259090837526302,53.341030995122644,6
Hoops,316148.543,233724.801,-6.256924955758214,53.34124478508962,6
Hoops,316633.662,233993.973,-6.249546225902169,53.34355555956805,3
Hoops,315921.864,234514.395,-6.2600376938241435,53.34838566782195,8
Hoops,316103.515,233504.548,-6.257681315132762,53.339276600388295,8
Hoops,315657.485,234517.05,-6.264004677792932,53.348467324356534,7
Sheffield Stand,315687.676,235182.112,-6.263308682757018,53.35443355207857,2
Sheffield Stand,316249.126,234563.925,-6.255107803078279,53.34875874186454,3
Sheffield Stand,315129.04,232840.827,-6.272544727652681,53.33352847935409,4
