type_stands,X,Y,Easting,Northing,location_stand,no_stands
Sheffield Stand,-6.290507019,53.33420699,313931.045,232887.606,Cork street,6
Sheffield Stand,-6.265275478,53.33621064,315606.332,233151.12,"Camden street lower, Infront of icon health store. ",6
Sheffield Stand,-6.262984872,53.34294562,315740.665,233904.313,"Drury street, outside Carousel",3
Sheffield Stand,-6.263002306,53.34274225,315740.055,233881.653,Drury street outside Irish design shop,9
Sheffield Stand,-6.255485415,53.33438318,316263.399,232963.648,"End of Hatch street lower, both sides of the road, outside cafe sol",11
Sheffield Stand,-6.25756681,53.33374331,316126.494,232889.056,Hatch street lower,4
Sheffield Stand,-6.264339387,53.34348527,315648.998,233962.172,"George's street, opposite Dublin business school",4
Sheffield Stand,-6.266876757,53.34402251,315478.565,234017.851,Open square beside Dublin City hall,11
Sheffield Stand,-6.26842171,53.34736269,315366.659,234387.057,Capel street outside spar,3
Sheffield Stand,-6.267835647,53.34653888,315407.911,234296.329,"Great strand street, outside pantibar",3
Sheffield Stand,-6.268506199,53.34472227,315368.162,234093.089,"Essex street west, outside the gaiety school of acting.",3
Sheffield Stand,-6.267154366,53.34537639,315456.42,234168.065,Wellington quay,6
Sheffield Stand,-6.272738725,53.34685272,315080.56,234323.341,Four courts luas stop,11
Sheffield Stand,-6.257389784,53.34818009,316099.061,234495.898,Marlborough street,4
Sheffield Stand,-6.28135398,53.34313377,314516.822,233895.639,Thomas street across from the hill top bar,3
Sheffield Stand,-6.275115162,53.34155082,314936.568,233729.506,Francis street opposite the liberty bell pub,4
Sheffield Stand,-6.275891662,53.34326188,314880.254,233918.668,Cornmarket street outside farrow and ball,3
Sheffield Stand,-6.275187582,53.3480536,314914.257,234453.035,May lane outside Hanley at the bar,8
Sheffield Stand,-6.270484328,53.35087553,315219.835,234774.644,North kings street outside centra,4
Sheffield Stand,-6.260164529,53.35221318,315903.351,234940.202,Cathal Brugha Street outside the Living Room pub,14
Sheffield Stand,-6.267481595,53.34471186,315436.423,234093.586,Parliament street outside paramount hotel,5
Sheffield Stand,-6.267346144,53.34468624,315445.513,234090.954,Parliament street outside spar shop,5
Sheffield Stand,-6.264945567,53.34561337,315602.871,234198.01,"Eustace street, outside the Italian corner restaurant",4
Sheffield Stand,-6.264374256,53.34549008,315641.25,234185.215,"Essex street, outside the shack restaurant.",5
Sheffield Stand,-6.26306802,53.34492803,315729.759,234124.785,"Cope street, behind central bank",7
Sheffield Stand,-6.262601316,53.34562138,315758.961,234202.699,"Temple bar, outside Rory's fishing shop.",4
Sheffield Stand,-6.260741204,53.34577029,315882.428,234222.287,"Fleet Street, outside hard rock cafe",3
Sheffield Stand,-6.25832051,53.34702084,316040.233,234365.381,Burgh quay,2
Sheffield Stand,-6.290792674,53.33423022,313911.955,232889.735,Cork street,3
Sheffield Stand,-6.259278059,53.34617781,315978.757,234270.012,"Westmorleland street, outside Bewleys",4
Sheffield Stand,-6.271794587,53.34257811,315154.95,233849.174,Christchurch square,4
Sheffield Stand,-6.277763844,53.34286315,314756.643,233871.286,Thomas street outside st johns priory,9
Sheffield Stand,-6.272678375,53.34495686,315089.685,234112.463,Merchants quay,4
Sheffield Stand,-6.294609457,53.34817688,313620.631,234435.677,Parkgate street outside Landis\subwau,3
Sheffield Stand,-6.26865238,53.34804559,315349.455,234462.679,"Capel street, outside mcQuillan tools",6
Sheffield Stand,-6.250543445,53.33552355,316589.477,233098.606,Fitzwilliam street upper,4
Sheffield Stand,-6.248227358,53.33788988,316737.287,233365.719,Fitzwilliam street lower,4
Sheffield Stand,-6.248077154,53.33777617,316747.602,233353.311,Fitzwilliam street lower,6
Sheffield Stand,-6.274377555,53.35003177,314962.874,234674.474,Church street Londis,4
Sheffield Stand,-6.277834922,53.34944898,314734.224,234604.059,Top of Smithfield,6
Sheffield Stand,-6.251549274,53.33571254,316521.965,233117.996,Fitzwilliam square north,7
Sheffield Stand,-6.285188198,53.35308412,314234.867,234996.798,Manor street,6
Sheffield Stand,-6.263397932,53.34801997,315699.416,234468.328,Middle abbey street across the road from the Gin Palace  pub,5
Sheffield Stand,-6.265190989,53.33592955,315612.72,233119.977,"Camden street, Infront of great deals store.",6
Sheffield Stand,-6.269591153,53.35858467,315258.504,235633.978,Berkeley road outside post office,2
Sheffield Stand,-6.264034957,53.34852353,315655.634,234523.334,Liffey street outside entrance to Arnotts.,8
Sheffield Stand,-6.244546026,53.33702184,316984.858,233275.145,Mount street uppwr,7
Sheffield Stand,-6.258653104,53.33091783,316061.804,232572.865,Charlemont place beside luas station ,9
Stainless Steel Curved,-6.238808781,53.34258852,317351.711,233904.027,Grand canal docks,5
Stainless Steel Curved,-6.239453852,53.34532995,317301.225,234208.039,Admiral brown street,6
Stainless Steel Curved,-6.238279045,53.34498248,317380.414,234171.302,All along Forbes street,12
Stainless Steel Curved,-6.235983074,53.3450089,317533.24,234178.018,Blood stone /road horse fair intersection,12
Stainless Steel Curved,-6.235950887,53.34507375,317535.205,234185.288,A'll along bood stone road,12
Stainless Steel Curved,-6.238179803,53.34482395,317387.459,234153.824,All along Forbes street,12
